tensor(0.6950, grad_fn=<MseLossBackward0>) tensor(0.0813, grad_fn=<MseLossBackward0>)
tensor(1.5852, grad_fn=<MseLossBackward0>) tensor(1.0429, grad_fn=<MseLossBackward0>)
tensor(0.8807, grad_fn=<MseLossBackward0>) tensor(0.1687, grad_fn=<MseLossBackward0>)
tensor(0.6572, grad_fn=<MseLossBackward0>) tensor(0.0428, grad_fn=<MseLossBackward0>)
tensor(0.7953, grad_fn=<MseLossBackward0>) tensor(0.1758, grad_fn=<MseLossBackward0>)
tensor(0.7840, grad_fn=<MseLossBackward0>) tensor(0.1563, grad_fn=<MseLossBackward0>)
tensor(0.6855, grad_fn=<MseLossBackward0>) tensor(0.0524, grad_fn=<MseLossBackward0>)
tensor(0.6908, grad_fn=<MseLossBackward0>) tensor(0.0190, grad_fn=<MseLossBackward0>)
tensor(0.6892, grad_fn=<MseLossBackward0>) tensor(0.0441, grad_fn=<MseLossBackward0>)
tensor(0.7515, grad_fn=<MseLossBackward0>) tensor(0.0685, grad_fn=<MseLossBackward0>)
tensor(0.6835, grad_fn=<MseLossBackward0>) tensor(0.0628, grad_fn=<MseLossBackward0>)
tensor(0.6148, grad_fn=<MseLossBackward0>) tensor(0.0564, grad_fn=<MseLossBackward0>)
tensor(0.6866, grad_fn=<MseLossBackward0>) tensor(0.0563, grad_fn=<MseLossBackward0>)
tensor(0.6445, grad_fn=<MseLossBackward0>) tensor(0.0329, grad_fn=<MseLossBackward0>)
tensor(0.6546, grad_fn=<MseLossBackward0>) tensor(0.0118, grad_fn=<MseLossBackward0>)
tensor(0.6636, grad_fn=<MseLossBackward0>) tensor(0.0146, grad_fn=<MseLossBackward0>)
tensor(0.6359, grad_fn=<MseLossBackward0>) tensor(0.0293, grad_fn=<MseLossBackward0>)
tensor(0.6852, grad_fn=<MseLossBackward0>) tensor(0.0423, grad_fn=<MseLossBackward0>)
tensor(0.6927, grad_fn=<MseLossBackward0>) tensor(0.0372, grad_fn=<MseLossBackward0>)
tensor(0.6753, grad_fn=<MseLossBackward0>) tensor(0.0181, grad_fn=<MseLossBackward0>)
tensor(0.6759, grad_fn=<MseLossBackward0>) tensor(0.0112, grad_fn=<MseLossBackward0>)
tensor(0.6737, grad_fn=<MseLossBackward0>) tensor(0.0140, grad_fn=<MseLossBackward0>)
tensor(0.6588, grad_fn=<MseLossBackward0>) tensor(0.0158, grad_fn=<MseLossBackward0>)
tensor(0.6392, grad_fn=<MseLossBackward0>) tensor(0.0167, grad_fn=<MseLossBackward0>)
tensor(0.6336, grad_fn=<MseLossBackward0>) tensor(0.0200, grad_fn=<MseLossBackward0>)
tensor(0.6468, grad_fn=<MseLossBackward0>) tensor(0.0227, grad_fn=<MseLossBackward0>)
tensor(0.7068, grad_fn=<MseLossBackward0>) tensor(0.0229, grad_fn=<MseLossBackward0>)
tensor(0.6663, grad_fn=<MseLossBackward0>) tensor(0.0152, grad_fn=<MseLossBackward0>)
tensor(0.6448, grad_fn=<MseLossBackward0>) tensor(0.0101, grad_fn=<MseLossBackward0>)
tensor(0.6443, grad_fn=<MseLossBackward0>) tensor(0.0111, grad_fn=<MseLossBackward0>)
tensor(0.6764, grad_fn=<MseLossBackward0>) tensor(0.0136, grad_fn=<MseLossBackward0>)
tensor(0.6377, grad_fn=<MseLossBackward0>) tensor(0.0161, grad_fn=<MseLossBackward0>)
tensor(0.6482, grad_fn=<MseLossBackward0>) tensor(0.0172, grad_fn=<MseLossBackward0>)
tensor(0.6572, grad_fn=<MseLossBackward0>) tensor(0.0153, grad_fn=<MseLossBackward0>)
tensor(0.6835, grad_fn=<MseLossBackward0>) tensor(0.0125, grad_fn=<MseLossBackward0>)
tensor(0.6482, grad_fn=<MseLossBackward0>) tensor(0.0126, grad_fn=<MseLossBackward0>)
tensor(0.6903, grad_fn=<MseLossBackward0>) tensor(0.0194, grad_fn=<MseLossBackward0>)
tensor(0.6882, grad_fn=<MseLossBackward0>) tensor(0.0210, grad_fn=<MseLossBackward0>)
tensor(0.6803, grad_fn=<MseLossBackward0>) tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.6232, grad_fn=<MseLossBackward0>) tensor(0.0597, grad_fn=<MseLossBackward0>)
